specObjID,ra,dec,redshift,z_err,distance,g,r,w1_mag,w2_mag
747612692902078464,27.151673,-10.326248,0.005298049,2.005937E-05,891.312917592657,15.05893,14.46853,11.86458,11.96115
518005248892102656,49.623178,-6.1006917,0.007658475,4.839475E-06,892.610272385548,16.7653,16.50328,14.36853,14.51598
784831162374711296,21.899608,-1.1050976,0.01483858,6.880636E-06,893.440409755038,14.52647,13.77092,10.70707,10.73506
906398121381095424,51.494263,-0.52499155,0.005420249,0.1816849,898.24847341161,19.89315,19.06922,16.69809,16.56387
783785801409390592,21.612717,0.98111814,0.008064182,5.907369E-06,900.215341104234,16.84322,16.47971,14.47101,14.67408
518007173037451264,49.764074,-6.1149802,0.007332301,1.505124E-05,900.395921247938,16.97801,16.69023,14.57665,14.64175
516813378287593472,48.453598,-8.1473124,0.01371946,5.194355E-06,901.773513148667,17.47293,17.21402,15.15093,15.30074
784826489450293248,21.694099,-0.64608289,0.006440202,4.097119E-06,901.917882696398,15.8396,15.7129,13.76813,13.72113
449272576221407232,21.694099,-0.64608289,0.006399863,4.145573E-06,901.917882696398,15.8396,15.7129,13.76813,13.72113
518003049868847104,49.858574,-6.1211238,0.007570745,9.370297E-06,905.526455317223,14.23825,13.71318,10.81381,10.68607
906398121783748608,51.606926,-0.69737874,3.052269E-05,2.904663E-05,906.178960553879,19.97549,19.2046,16.33689,16.4113
449271476709779456,21.676051,-1.0877791,0.01457828,2.822187E-05,906.544686876156,17.48482,16.75332,13.83254,13.7995
1690100892365252608,21.51977,0.315263,0.006353542,5.379575E-06,907.221208151042,16.43683,16.17324,14.43627,14.97914
784839958467733504,21.566574,-0.40809856,0.006455741,1.095524E-05,907.921689171748,17.02473,16.55958,13.9309,14.00943
480851651075270656,29.861252,14.834245,0.00698573,5.202125E-06,912.931679587195,15.86882,15.4101,12.87866,12.88537
518017068642101248,50.13663,-6.1187873,0.00779771,5.752251E-06,920.085207878827,16.84179,16.45012,14.29613,14.50684
